  802,    Grounds of Valor,    7,    Den of Rancor,    Tormentor/Puck Pucks
  803,    Grounds of Valor,    8,    Den of Rancor,    Tormentor/Bullbeggar
  804,    Grounds of Valor,    1,    Sea Serpent Grotto,    Royal Leech/Undead Bats
  805,    Grounds of Valor,    2,    Sea Serpent Grotto,    Ironshell/Members of the skeleton family
  806,    Grounds of Valor,    3,    Sea Serpent Grotto,    Members of the Sahagin family/Vampire Bat
  807,    Grounds of Valor,    4,    Sea Serpent Grotto,    Members of the Sahagin family/Bigclaw
  808,    Grounds of Valor,    5,    Sea Serpent Grotto,    Members of the Sahagin family/Grotto Pugil
  809,    Grounds of Valor,    6,    Sea Serpent Grotto,    Robber Crab/Dire Bat
  810,    Grounds of Valor,    7,    Sea Serpent Grotto,    Robber Crab/Devil Manta
  811,    Grounds of Valor,    8,    Sea Serpent Grotto,    Mindgazer/Greatclaw Greatclaws
  812,    Grounds of Valor,    1,    Quicksand Caves,    Sand Spider/Members of the Antica family
  813,    Grounds of Valor,    2,    Quicksand Caves,    Helm Beetle/Members of the Antica family
  814,    Grounds of Valor,    3,    Quicksand Caves,    Members of the worm family/Members of the Antica family
  815,    Grounds of Valor,    4,    Quicksand Caves,    Members of the Antica family
  816,    Grounds of Valor,    5,    Quicksand Caves,    Members of the sabotender family/Members of the Antica family
  817,    Grounds of Valor,    6,    Quicksand Caves,    Sand Lizard/Members of the Antica family
  818,    Grounds of Valor,    7,    Quicksand Caves,    Girtab/Members of the Antica family
  819,    Grounds of Valor,    8,    Quicksand Caves,    Sand Tarantula/Members of the Antica family
